            x            y            a            d            m            sx            sy             sm            c
   900.111145   726.516418   266.495157   -28.775777    11.523538     0.000524     0.000495     0.000323     0.966353
   619.260376  1359.408203   266.452375   -28.721906    11.531536     0.000534     0.000499     0.000326     0.981142
   634.777893  1591.761353   266.430037   -28.711735    11.567392     0.000554     0.000518     0.000368     0.995909
   835.249512  1423.939331   266.434316   -28.736231    11.578718     0.000553     0.000504     0.000337     0.987065
  1462.377197   949.187256   266.443070   -28.810391    11.585908     0.000564     0.000514     0.000342     0.984286
  1279.916504  1553.844727   266.397395   -28.765862    11.586917     0.000551     0.000510     0.000339     0.990093
  1540.203125  1538.097290   266.384257   -28.787720    11.592490     0.000478     0.000522     0.000395     0.715682
  1533.677856  1558.919434   266.382698   -28.786166    11.593515     0.000565     0.000513     0.000342     0.988132
  1536.854370  1541.367798   266.384142   -28.787288    11.600923     0.000566     0.000479     0.000400     0.739507
  1546.600098  1541.875854   266.383549   -28.788052    11.606997     0.000590     0.000433     0.000440    -1.000000
  1301.306152   782.630371   266.467500   -28.805530    11.612307     0.000577     0.000537     0.000351     0.984742
  1361.797607  1526.238525   266.395356   -28.773853    11.624366     0.000577     0.000534     0.000353     0.996600
   872.958069   119.790909   266.552800   -28.803382    11.631195     0.000574     0.000535     0.000354     0.991987
  1359.880859   690.425171   266.472747   -28.814810    11.633090     0.000580     0.000547     0.000357     0.987544
  1489.066406  1064.674438   266.430894   -28.806873    11.643332     0.000583     0.000548     0.000359     0.991909
   697.882385   103.037941   266.564145   -28.790012    11.644765     0.000582     0.000534     0.000357     0.989437
   514.621277   552.519897   266.532820   -28.753083    11.651618     0.000602     0.000560     0.000365     0.991283
  1506.107300   767.244446   266.457448   -28.822881    11.662404     0.000593     0.000553     0.000365     0.992307
  1355.073853   321.018005   266.507193   -28.832576    11.678728     0.000598     0.000550     0.000368     0.992941
   338.087494   379.671478   266.558678   -28.747262    11.680654     0.000604     0.000567     0.000372     0.858452
   893.821960  1226.664795   266.449269   -28.750679    11.731685     0.000637     0.000596     0.000390     0.992829
   697.380920   707.583862   266.508256   -28.760277    11.748003     0.000658     0.000610     0.000399     0.984170
  1514.466431    48.967731   266.523444   -28.858862    11.773111     0.000670     0.000604     0.000405     0.995070
  1042.781982   432.402649   266.514374   -28.801792    11.789944     0.000675     0.000632     0.000413     0.991253
  1543.945312  1538.867432   266.383976   -28.787985    11.795642     0.000737     0.000646     0.000442    -1.000000
   768.321228    33.362579   266.566651   -28.799143    11.828388     0.000705     0.000654     0.000429     0.988267
  1537.707275  1545.373047   266.383724   -28.787160    11.829267     0.000706     0.000682     0.000437     0.805322
  1567.615112   391.826660   266.488735   -28.846322    11.848360     0.000718     0.000654     0.000434     0.983269
   453.962067  1297.816895   266.467320   -28.711541    11.853857     0.000704     0.000654     0.000434     0.988636
  1447.482666  1523.649536   266.390791   -28.780921    11.957308     0.001394     0.001401     0.001265     0.859434
   991.760071   124.437767   266.545723   -28.812785    11.958672     0.000790     0.000740     0.000483     0.977763
   700.574768   353.715912   266.540804   -28.777920    11.972921     0.000809     0.000743     0.000489     0.988001
  1295.851807   777.766418   266.468255   -28.805327    11.986312     0.000802     0.000745     0.000492     0.990211
   720.534607  1032.362549   266.476932   -28.746192    11.996768     0.002359     0.000932     0.001919     0.914773
   580.572266    21.598331   266.578241   -28.784500    12.000196     0.000831     0.000769     0.000503     0.979658
   540.567932  1233.540161   266.468412   -28.721719    12.013847     0.000842     0.000781     0.000510     0.991149
   632.144592   770.672302   266.506073   -28.751890    12.033402     0.000838     0.000785     0.000515     0.706894
  1031.713745   532.041199   266.505776   -28.796000    12.033732     0.000934     0.000791     0.000546    -1.000000
  1035.039673   216.684189   266.534765   -28.811762    12.063224     0.001403     0.000883     0.001026     0.771726
  1350.358032  1413.115723   266.406454   -28.778493    12.072780     0.001159     0.000853     0.000641    -1.000000
   340.737030  1474.896484   266.457296   -28.693660    12.083812     0.000883     0.000805     0.000537     0.984744
   761.433167   218.817932   266.549878   -28.789479    12.101246     0.001902     0.001418     0.001703    -1.000000
   763.131775   219.965851   266.549677   -28.789560    12.121418     0.001896     0.001474     0.001689     0.847744
  1353.258179  1412.065796   266.406388   -28.778780    12.127103     0.001212     0.000901     0.000683     0.778412
   890.055725   590.173035   266.508330   -28.781662    12.138588     0.000916     0.000850     0.000564     0.786906
   550.921692     7.592982   266.581194   -28.782783    12.158974     0.000939     0.000886     0.000578     0.986316
   484.553101  1256.652954   266.469411   -28.716044    12.159741     0.000962     0.000888     0.000582     0.986895
   718.571228  1032.227905   266.477055   -28.746039    12.169939     0.002693     0.001065     0.002276    -1.000000
   937.250671  1422.381714   266.428747   -28.744572    12.171005     0.000961     0.000897     0.000587     0.984638
   889.768555   876.820984   266.481838   -28.767551    12.187089     0.000970     0.000892     0.000592     0.991211
  1174.083618   369.600922   266.512833   -28.815520    12.191746     0.001040     0.000946     0.000695     0.787178
  1446.093262  1525.164917   266.390729   -28.780734    12.205595     0.001621     0.001642     0.001637    -1.000000
  1170.770020   370.783203   266.512909   -28.815193    12.207654     0.001137     0.000936     0.000648    -1.000000
  1032.668335   216.791107   266.534888   -28.811565    12.234467     0.001821     0.001027     0.001169    -1.000000
  1295.354736   516.136353   266.492484   -28.818148    12.297454     0.001083     0.000985     0.000657     0.979293
   696.958984   595.040771   266.518686   -28.765773    12.312415     0.001072     0.000987     0.000660     0.992576
   532.160828  1545.748169   266.440034   -28.705685    12.344601     0.001115     0.001037     0.000685     0.983166
  1206.553589  1003.875122   266.452348   -28.786974    12.366224     0.001158     0.001049     0.000700     0.985977
  1165.762451   755.149658   266.477634   -28.795898    12.382806     0.001161     0.001065     0.000708     0.985806
  1353.556641  1358.887695   266.411287   -28.781420    12.385093     0.001178     0.001066     0.000712     0.985138
  1535.070557   708.945312   266.461218   -28.828095    12.390410     0.001153     0.001061     0.000709     0.992343
   838.276550  1496.452881   266.427446   -28.732910    12.398542     0.001189     0.001111     0.000726     0.987796
  1476.879028  1543.149536   266.387341   -28.782342    12.411401     0.001181     0.001091     0.000725     0.983673
   953.966675  1567.815308   266.414370   -28.738771    12.412595     0.001178     0.001095     0.000726     0.986443
  1028.512695   533.560303   266.505815   -28.795666    12.417344     0.001164     0.001187     0.000876     0.791047
   693.802063  1375.588257   266.446706   -28.727150    12.420282     0.001204     0.001130     0.000737     0.977798
  1507.001587  1288.155884   266.409224   -28.797331    12.457393     0.001226     0.001137     0.000756     0.989805
   658.840759   695.558044   266.511524   -28.757745    12.480370     0.001269     0.001195     0.000779     0.986732
   431.177917   291.389801   266.561637   -28.759143    12.525074     0.001324     0.001242     0.000812     0.976562
   438.343750  1320.540283   266.466094   -28.709158    12.538333     0.001359     0.001265     0.000826     0.980759
   492.065155  1519.786621   266.444677   -28.703714    12.552213     0.001342     0.001250     0.000826     0.987881
   777.613708  1268.112549   266.451945   -28.739226    12.565257     0.001388     0.001258     0.000840     0.978204
   924.101990    71.713860   266.554387   -28.809889    12.571967     0.001372     0.001283     0.000844     0.979272
   819.773743  1120.199829   266.463256   -28.749915    12.574533     0.001386     0.001277     0.000846     0.988771
  1004.469055  1091.785034   266.455540   -28.766277    12.581564     0.001416     0.001291     0.000857     0.991974
   482.188538  1340.506714   266.461795   -28.711729    12.598326     0.001419     0.001335     0.000870     0.979715
   658.354858  1149.635132   266.469573   -28.735388    12.600797     0.001439     0.001333     0.000874     0.977030
   621.197266   409.701996   266.540066   -28.768736    12.611359     0.001433     0.001335     0.000877     0.986874
  1188.103760  1350.541260   266.421332   -28.768428    12.621962     0.001440     0.001361     0.000887     0.984943
   530.129578  1112.589355   266.480175   -28.726819    12.626070     0.001449     0.001365     0.000890     0.973724
  1343.859009   197.762146   266.519227   -28.837723    12.627207     0.001125     0.001002     0.001155     0.986920
   922.695312   775.720276   266.489343   -28.775189    12.628061     0.001468     0.001355     0.000892     0.991293
  1169.608276  1421.048462   266.415851   -28.763461    12.658449     0.001511     0.001365     0.000914     0.986465
   835.371338  1394.638184   266.437017   -28.737682    12.665983     0.001530     0.001416     0.000928     0.975522
  1568.915405   495.877228   266.479034   -28.841313    12.669471     0.001493     0.001379     0.000918     0.981173
  1309.761475   196.010376   266.521298   -28.835046    12.670624     0.001511     0.001376     0.000921     0.989166
  1036.644897  1112.797119   266.451795   -28.767851    12.680076     0.001543     0.001411     0.000935     0.981182
