  x  y  f
      2396.44      2421.89  3.39836e+06
      2394.72      577.811  3.37488e+06
      1863.41      2530.31  3.34300e+06
      2537.39      1067.72  3.29507e+06
      592.259      653.458  2.89512e+06
      2124.71      2435.27  2.78284e+06
      1602.22      2371.82  2.77391e+06
      941.740      1073.85  2.70804e+06
      755.197      2138.46  2.69009e+06
      874.667      780.138  2.66758e+06
      1750.55      635.110  2.65216e+06
      235.158      1845.20  2.64798e+06
      2510.69      1524.14  2.61756e+06
      231.876      1657.57  2.61618e+06
      1811.80      2525.27  2.59883e+06
      280.287      2608.94  2.59119e+06
      2490.58      945.209  2.57790e+06
      429.573      2152.58  2.56784e+06
      515.439      221.706  2.53726e+06
      610.610      2545.89  2.51790e+06
      445.651      2384.74  2.50022e+06
      2083.09      1899.49  2.49920e+06
      1428.44      1121.73  2.49318e+06
      1536.17      2232.28  2.48465e+06
      599.639      1515.65  2.47609e+06
      1718.21      2304.90  2.46447e+06
      1971.07      821.397  2.44944e+06
      964.086      1720.13  2.44184e+06
      821.156      2602.82  2.43784e+06
      1591.13      1504.42  2.41060e+06
      555.794      461.473  2.40515e+06
      2073.43      2069.89  2.38831e+06
      890.867      791.076  2.38227e+06
      1350.14      2387.17  2.38049e+06
      336.607      1979.91  2.34794e+06
      426.732      2058.83  2.33935e+06
      61.2889      1433.33  2.33030e+06
      127.015      279.262  2.32698e+06
      596.953      911.663  2.32367e+06
      93.8400      1345.35  2.32356e+06
      684.109      1111.31  2.30747e+06
      322.949      1927.36  2.30716e+06
      250.016      668.503  2.30557e+06
      491.179      113.965  2.30463e+06
      618.156      1416.23  2.30223e+06
      260.532      2536.10  2.28642e+06
      2447.56      2546.93  2.27311e+06
      92.1390      1724.09  2.22786e+06
      2362.94      1499.09  2.21406e+06
      130.718      2339.06  2.20893e+06
      1259.71      2361.27  2.19527e+06
      1082.59      317.075  2.11329e+06
      509.749      566.258  2.11086e+06
      1410.03      1521.11  2.10734e+06
      2264.37      2277.46  2.08276e+06
      780.827      1982.25  2.05648e+06
      1498.50      2114.26  2.01602e+06
      206.761      1256.39  1.98706e+06
      1149.39      2254.81  1.97491e+06
      2231.13      1365.48  1.95940e+06
      139.153      2364.69  1.95242e+06
      1723.82      2084.14  1.92247e+06
      2476.63      978.757  1.91749e+06
      1953.54      2341.87  1.88134e+06
      481.101      1945.88  1.87926e+06
      2428.05      502.263  1.86293e+06
      2137.16      673.847  1.85751e+06
      2090.50      855.707  1.85392e+06
      378.984      1292.88  1.80402e+06
      1551.62      1886.70  1.80384e+06
      1654.24      786.766  1.78865e+06
      2424.82      1331.80  1.75353e+06
      957.058      336.279  1.74892e+06
      1539.87      2243.31  1.73749e+06
      1612.17      1649.13  1.72281e+06
      2358.33      573.831  1.71814e+06
      753.100      454.669  1.71533e+06
      1456.26      2406.91  1.70712e+06
      1538.97      1526.77  1.68988e+06
      579.115      1219.50  1.67921e+06
      2401.58      1619.91  1.66231e+06
      2010.39      891.278  1.62835e+06
      1819.65      214.950  1.61649e+06
      651.127      1189.43  1.58244e+06
      1782.03      2386.53  1.57769e+06
      1955.85      753.655  1.57718e+06
      521.352      1010.08  1.57444e+06
      195.075      1039.99  1.56840e+06
      2234.55      1355.75  1.56493e+06
      2029.66      1773.34  1.55259e+06
      1786.13      2545.98  1.55241e+06
      961.537      2287.62  1.54791e+06
      1359.11      1829.58  1.53021e+06
      229.463      1577.81  1.52274e+06
      556.915      396.072  1.51658e+06
      908.469      904.102  1.51213e+06
      2275.93      1752.99  1.49678e+06
      2266.77      803.957  1.49344e+06
      216.721      1496.83  1.48350e+06
      1131.20      2422.43  1.47365e+06
      1580.58      775.116  1.46590e+06
      1532.38      1550.38  1.45120e+06
      2495.89      2480.47  1.42694e+06
      1439.28      702.114  1.41547e+06
      1308.38      2462.92  1.40935e+06
      2482.56      1492.72  1.40516e+06
      1450.55      1534.51  1.40337e+06
      1426.14      2463.28  1.38695e+06
      1548.54      1222.61  1.37671e+06
      1199.40      1861.87  1.36898e+06
      2259.54      1027.53  1.36502e+06
      769.960      1823.06  1.35146e+06
      665.131      1221.15  1.34096e+06
      2455.96      2410.17  1.33795e+06
      1225.99      1676.03  1.33371e+06
      2007.22      223.745  1.33074e+06
      819.509      1519.55  1.30866e+06
      1692.15      2539.74  1.30605e+06
      2516.98      593.767  1.30300e+06
      1393.91      2319.04  1.29433e+06
      1671.42      327.396  1.28624e+06
      2170.24      365.907  1.28043e+06
      353.184      1179.60  1.24986e+06
      1670.53      2473.01  1.22507e+06
      2369.49      2388.19  1.20296e+06
      1313.74      1770.57  1.20095e+06
      1661.56      2182.92  1.19679e+06
      1981.06      1565.78  1.19449e+06
      2550.01      358.848  1.18359e+06
      2199.85      2516.12  1.17553e+06
      1868.86      2586.39  1.17535e+06
      1009.71      2254.21  1.16743e+06
      546.616      1471.00  1.16201e+06
      2309.11      177.730  1.14900e+06
      617.012      1084.65  1.13943e+06
      1478.46      2462.26  1.12601e+06
      877.793      1247.30  1.11224e+06
      1081.28      505.796  1.10945e+06
      2383.81      1553.18  1.10820e+06
      947.408      1338.81  1.10729e+06
      1729.14      487.637  1.10074e+06
      801.213      1763.82  1.09819e+06
      1781.96      1718.99  1.09436e+06
      108.965      713.775  1.08760e+06
      600.903      1896.46  1.08431e+06
      1906.41      1521.80  1.08294e+06
      1948.03      2466.79  1.08236e+06
      2237.31      1743.69  1.06527e+06
      1900.70      1955.23  1.04517e+06
      898.327      2507.72  1.03706e+06
      397.611      342.058  1.02737e+06
      1771.81      1269.01  1.00779e+06
      2555.46      404.855      988596.
      1240.94      2296.04      977845.
      2374.99      2173.67      968562.
      1183.08      1417.58      962228.
      531.870      861.692      959338.
      846.984      2222.11      940977.
      1018.00      1581.66      938064.
      376.572      1084.77      932974.
      1156.51      974.019      926019.
      1613.16      1224.04      925762.
      2285.47      642.924      918656.
      635.493      799.510      911286.
      937.148      2380.66      883025.
      451.825      2415.70      873540.
      1995.81      640.973      868448.
      855.622      726.748      863340.
      2294.50      1211.57      855496.
      2043.12      1471.16      854228.
      841.334      1834.63      854206.
      1038.94      1774.95      837186.
      1026.48      2331.19      829799.
      711.014      960.880      829124.
      1046.69      1138.04      826040.
      1489.12      1919.32      824194.
      167.655      486.551      819538.
      1407.54      782.012      812871.
      1244.35      1707.59      811366.
      628.453      2569.70      811305.
      392.747      980.198      810212.
      1354.58      656.402      807848.
      1903.53      736.248      790501.
      2097.26      1973.11      788132.
      2213.51      2014.24      782738.
      1031.76      942.574      781537.
      2185.00      1830.98      781487.
      559.247      1297.46      779607.
      1503.00      1170.51      773544.
      308.481      1819.09      770901.
      1961.30      742.908      766945.
      524.789      889.061      746188.
      2297.70      147.448      741622.
      391.255      1560.74      736843.
      1388.06      1260.55      732006.
      1027.83      1762.82      722753.
      1127.56      1043.65      719016.
      1866.36      574.079      708762.
      1557.81      1667.89      703929.
      1403.82      1315.94      701152.
      1169.69      1398.25      690844.
      504.732      614.848      690513.
      1654.27      1442.01      683047.
      1325.45      1700.18      676697.
      997.093      683.100      676345.
      660.275      861.468      654413.
      1255.72      902.936      654161.
      842.438      1394.88      650282.
      579.486      1555.85      649457.
      858.694      1569.62      642272.
      61.8020      942.322      639951.
      1718.15      1584.92      638355.
      2554.33      323.549      620000.
      1350.75      825.860      619018.
      539.625      1216.52      612052.
      1270.05      1965.17      611317.
      1949.58      1972.44      601099.
      1164.18      2108.50      596468.
      1439.79      1277.09      584639.
      737.182      670.656      576282.
      1261.45      1676.90      575705.
      1200.19      1202.96      574535.
      1512.06      316.717      567978.
      405.978      1236.66      564954.
      637.189      127.722      537258.
      681.794      1107.49      524075.
      661.817      2531.19      495210.
      1241.74      2392.06      414748.
      2364.89      2478.39      410162.
      1762.66      2023.60      406800.
      2383.45      1670.19      349723.
      1067.55      1642.37      336809.
      1140.27      2200.35      295549.
      914.920      1871.46      284574.
      556.200      1253.43      279045.
      1639.82      1697.73      266807.
